stem,method,region_h,region_w,niqe,brisque,ocr_conf_sum,ocr_n_detections
sc_33_18,lama_manual_mask,124,125,8.44320815637888,9.05194091796875,0.0,0
sc_33_18,lama_dilated,124,125,9.441469782876005,8.27459716796875,0.0,0
sc_33_18,lama_auto,124,125,9.057775099826117,7.53143310546875,0.0,0
sc_33_19,raw,161,120,10.026128212805874,9.67010498046875,1.9792404634355414,2
sc_33_19,telea,161,120,10.298106976279614,11.44061279296875,0.0,0
sc_33_19,navier_stokes,161,120,9.899636177125654,12.36834716796875,0.0,0
sc_33_19,lama_manual_mask,161,120,9.48889583646698,12.68475341796875,0.0,0
sc_33_19,lama_dilated,161,120,9.420684784078036,8.56170654296875,0.0,0
sc_33_19,lama_auto,161,120,9.677536285553856,-1.63653564453125,0.0,0
sc_33_20,raw,121,96,13.318426832064851,28.68377685546875,0.32096234641074073,1
sc_33_20,telea,121,96,12.580939693804774,24.07928466796875,0.0,0
sc_33_20,navier_stokes,121,96,12.457080897800333,29.43768310546875,0.0,0
sc_33_20,lama_manual_mask,121,96,12.008132891237965,11.12811279296875,0.0,0
sc_33_20,lama_dilated,121,96,12.507178070579064,13.62713623046875,0.0,0
sc_33_20,lama_auto,121,96,12.054930719390965,21.41033935546875,0.0,0
sc_33_21,raw,122,108,8.480680832107536,24.78631591796875,1.0160243458035207,2
sc_33_21,telea,122,108,7.931797595243688,25.74041748046875,0.0,0
sc_33_21,navier_stokes,122,108,8.216625203741474,22.38592529296875,0.0,0
sc_33_21,lama_manual_mask,122,108,8.123274933881854,23.89764404296875,0.0,0
sc_33_21,lama_dilated,122,108,8.785057932303712,21.48553466796875,0.0,0
sc_33_21,lama_auto,122,108,7.617011895981199,22.76483154296875,0.0,0
sc_33_22,raw,106,96,9.855483256713997,62.50018310546875,0.0,0
sc_33_22,telea,106,96,11.157803975897377,53.85272216796875,0.0,0
sc_33_22,navier_stokes,106,96,10.091830825594554,55.52069091796875,0.0,0
sc_33_22,lama_manual_mask,106,96,9.10398238677678,54.04803466796875,0.0,0
sc_33_22,lama_dilated,106,96,10.73824064371991,54.98065185546875,0.0,0
sc_33_22,lama_auto,106,96,9.737298517017084,56.47186279296875,0.0,0
sc_33_23,raw,114,118,8.485456680431112,16.93084716796875,0.10555309693260798,1
sc_33_23,telea,114,118,8.512564485736931,24.28826904296875,0.0,0
sc_33_23,navier_stokes,114,118,9.018303683134597,26.54217529296875,0.0,0
sc_33_23,lama_manual_mask,114,118,10.042077020153478,17.03729248046875,0.0,0
sc_33_23,lama_dilated,114,118,7.967724011506416,27.51385498046875,0.0,0
sc_33_23,lama_auto,114,118,7.773153602236,27.79412841796875,0.0,0
sc_33_24,raw,125,96,12.091889050424488,41.75213623046875,0.9206509458167305,2
sc_33_24,telea,125,96,14.375242581570443,28.55682373046875,0.0,0
sc_33_24,navier_stokes,125,96,12.10238051313519,39.15643310546875,0.0,0
sc_33_24,lama_manual_mask,125,96,10.722556671874383,32.10369873046875,0.0,0
sc_33_24,lama_dilated,125,96,9.640021014472778,35.86248779296875,0.0,0
sc_33_24,lama_auto,125,96,9.555325159253178,30.86834716796875,0.0,0
sc_33_25,raw,115,96,7.2865934474416685,29.82830810546875,0.817940982214669,2
sc_33_25,telea,115,96,6.071260797676094,29.17303466796875,0.0,0
sc_33_25,navier_stokes,115,96,5.992091641053261,30.70135498046875,0.0,0
sc_33_25,lama_manual_mask,115,96,5.784940230931361,27.01385498046875,0.0,0
sc_33_25,lama_dilated,115,96,4.7170341105064715,30.50897216796875,0.0,0
sc_33_25,lama_auto,115,96,4.484769751809912,29.43084716796875,0.0,0
sc_33_26,raw,129,96,11.856804765857479,20.81463623046875,0.6042001867952087,3
sc_33_26,telea,129,96,8.986198491932532,21.93768310546875,0.0,0
sc_33_26,navier_stokes,129,96,9.58325924765137,17.19842529296875,0.0,0
sc_33_26,lama_manual_mask,129,96,10.856904087277368,20.55194091796875,0.0,0
sc_33_26,lama_dilated,129,96,10.873539447104669,20.25701904296875,0.0,0
sc_33_26,lama_auto,129,96,11.497019495878845,21.47381591796875,0.0,0
sc_33_27,raw,123,96,10.78643826745173,57.25506591796875,0.0,0
sc_33_27,telea,123,96,9.951443905744789,54.72869873046875,0.0,0
sc_33_27,navier_stokes,123,96,9.599736437390556,54.98553466796875,0.0,0
sc_33_27,lama_manual_mask,123,96,10.226492336597424,53.66131591796875,0.0,0
sc_33_27,lama_dilated,123,96,9.859743843155943,52.75701904296875,0.0,0
sc_33_27,lama_auto,123,96,9.461349459776276,52.89764404296875,0.0,0
sc_33_28,raw,126,96,7.53374385396536,25.11346435546875,0.9710894362408595,3
sc_33_28,telea,126,96,8.551045933709519,26.39471435546875,0.0,0
sc_33_28,navier_stokes,126,96,6.297172227492225,33.45819091796875,0.0,0
sc_33_28,lama_manual_mask,126,96,4.617841810292874,25.11248779296875,0.11370903801401905,1
sc_33_28,lama_dilated,126,96,7.029671696690215,34.13983154296875,0.0,0
sc_33_28,lama_auto,126,96,5.3068275114050625,37.78826904296875,0.0,0
sc_33_29,raw,126,96,11.410400555295022,47.02069091796875,0.8174942492418651,3
sc_33_29,telea,126,96,12.152194785896254,41.45037841796875,0.0,0
sc_33_29,navier_stokes,126,96,10.434270679985223,48.69744873046875,0.0,0
sc_33_29,lama_manual_mask,126,96,10.264555864976645,43.52655029296875,0.0,0
sc_33_29,lama_dilated,126,96,8.550523242057945,31.95428466796875,0.0,0
sc_33_29,lama_auto,126,96,9.12817871250318,30.63690185546875,0.0,0
sc_33_30,raw,120,96,6.864001436629392,29.20819091796875,2.219038031997779,3
sc_33_30,telea,120,96,4.695292872278206,22.18768310546875,0.0,0
sc_33_30,navier_stokes,120,96,4.576938791210749,24.18670654296875,0.0,0
sc_33_30,lama_manual_mask,120,96,4.812171494902344,23.31170654296875,0.0,0
sc_33_30,lama_dilated,120,96,4.893611053234794,23.52069091796875,0.0,0
sc_33_30,lama_auto,120,96,4.967888065549982,22.64080810546875,0.0,0
sc_33_31,raw,114,107,8.867908285280137,21.85565185546875,0.9516260753531955,1
sc_33_31,telea,114,107,7.825819843108187,16.69061279296875,0.0,0
sc_33_31,navier_stokes,114,107,7.5457879296708406,14.12420654296875,0.0,0
sc_33_31,lama_manual_mask,114,107,7.4432865746799095,17.94158935546875,0.0,0
sc_33_31,lama_dilated,114,107,9.294186891463136,19.25018310546875,0.0,0
sc_33_31,lama_auto,114,107,8.467131772670689,21.92303466796875,0.0,0
sc_33_32,raw,114,96,8.894692271840798,56.45330810546875,0.0,0
sc_33_32,telea,114,96,8.292358930965147,55.55975341796875,0.0,0
sc_33_32,navier_stokes,114,96,8.354649134364175,55.86639404296875,0.0,0
sc_33_32,lama_manual_mask,114,96,8.183676184240785,53.24334716796875,0.0,0
sc_33_32,lama_dilated,114,96,8.059841272136477,51.45916748046875,0.0,0
sc_33_32,lama_auto,114,96,8.430985431090557,52.08319091796875,0.0,0
sc_33_33,raw,108,116,5.239397383899996,10.53338623046875,0.2624143589621848,1
sc_33_33,telea,108,116,6.442766068318817,16.68670654296875,0.0,0
sc_33_33,navier_stokes,108,116,6.006033917600045,17.88104248046875,0.0,0
sc_33_33,lama_manual_mask,108,116,6.334267258283512,20.72186279296875,0.0,0
sc_33_33,lama_dilated,108,116,4.969818469983483,16.33514404296875,0.0,0
sc_33_33,lama_auto,108,116,5.828729989477062,21.79119873046875,0.0,0
sc_33_34,raw,118,96,12.378759582184298,25.14764404296875,0.5184316006798949,1
sc_33_34,telea,118,96,10.650597086149123,9.88885498046875,0.0,0
sc_33_34,navier_stokes,118,96,10.524613312527421,17.83807373046875,0.0,0
sc_33_34,lama_manual_mask,118,96,10.859012397359512,7.38885498046875,0.0,0
sc_33_34,lama_dilated,118,96,12.603490751260471,18.47186279296875,0.0,0
sc_33_34,lama_auto,118,96,11.591916883950503,20.05291748046875,0.0,0
sc_33_35,raw,108,96,5.564938814863333,12.52947998046875,1.4482205891507487,2
sc_33_35,telea,108,96,6.065049230920161,16.68084716796875,0.0,0
sc_33_35,navier_stokes,108,96,5.760144675318466,17.19354248046875,0.0,0
sc_33_35,lama_manual_mask,108,96,5.120109509571562,16.20721435546875,0.0,0
sc_33_35,lama_dilated,108,96,6.242990569540337,16.87322998046875,0.0,0
sc_33_35,lama_auto,108,96,6.324093624959399,19.26873779296875,0.0,0
sc_33_36,raw,116,96,11.631110848321278,19.80780029296875,1.3006378894613426,2
sc_33_36,telea,116,96,9.79137245493132,10.97381591796875,0.0,0
sc_33_36,navier_stokes,116,96,10.144568350434788,9.84637451171875,0.0,0
sc_33_36,lama_manual_mask,116,96,11.639833112416738,18.56854248046875,0.0,0
sc_33_36,lama_dilated,116,96,13.266602751806671,19.78826904296875,0.0,0
sc_33_36,lama_auto,116,96,11.717322222900297,17.79412841796875,0.0,0
sc_33_37,raw,112,96,8.686415614048625,57.01287841796875,0.0,0
sc_33_37,telea,112,96,8.43196077535749,50.27850341796875,0.0,0
sc_33_37,navier_stokes,112,96,8.094932701408652,50.67694091796875,0.0,0
sc_33_37,lama_manual_mask,112,96,8.48937645711237,49.98455810546875,0.0,0
sc_33_37,lama_dilated,112,96,7.953026207934106,49.25897216796875,0.0,0
sc_33_37,lama_auto,112,96,9.23806289917992,48.61737060546875,0.0,0
sc_33_38,raw,109,96,5.242473699742741,14.52264404296875,1.1250427212513614,2
sc_33_38,telea,109,96,7.114808843619422,20.82537841796875,0.0,0
sc_33_38,navier_stokes,109,96,6.230756840787666,22.67205810546875,0.0,0
sc_33_38,lama_manual_mask,109,96,6.174340321342755,17.87908935546875,0.0,0
sc_33_38,lama_dilated,109,96,7.141980379497971,28.51873779296875,0.0,0
sc_33_38,lama_auto,109,96,7.0181148710658805,29.28826904296875,0.0,0
sc_33_39,raw,118,96,9.85606645280509,24.40350341796875,0.6388281105473461,3
sc_33_39,telea,118,96,12.179444565540761,5.73260498046875,0.0,0
sc_33_39,navier_stokes,118,96,10.321839379082837,13.70623779296875,0.0,0
sc_33_39,lama_manual_mask,118,96,9.297778576129552,10.83221435546875,0.0,0
sc_33_39,lama_dilated,118,96,11.823529264044705,12.96697998046875,0.0,0
sc_33_39,lama_auto,118,96,9.411572782753662,15.69354248046875,0.0,0
