stem,method,remove_score
sc_h_30,swin2sr,0.8883911967277527
sc_h_30,realesrgan,0.8914813995361328
sc_h_30,aesrgan,0.8935569524765015
sc_h_31,lama_dilated,0.9230871200561523
sc_h_31,swin2sr,0.9066541194915771
sc_h_31,realesrgan,0.9130278825759888
sc_h_31,aesrgan,0.892507791519165
sc_h_32,lama_dilated,0.872559130191803
sc_h_32,swin2sr,0.8455570936203003
sc_h_32,realesrgan,0.8377336859703064
sc_h_32,aesrgan,0.8542501330375671
sc_h_33,lama_dilated,0.9046639204025269
sc_h_33,swin2sr,0.9008686542510986
sc_h_33,realesrgan,0.9169594049453735
sc_h_33,aesrgan,0.9260947108268738
sc_h_34,lama_dilated,0.8576444387435913
sc_h_34,swin2sr,0.8055402636528015
sc_h_34,realesrgan,0.8426840305328369
sc_h_34,aesrgan,0.860576868057251
sc_h_35,lama_dilated,0.9115043878555298
sc_h_35,swin2sr,0.8785679340362549
sc_h_35,realesrgan,0.9025168418884277
sc_h_35,aesrgan,0.8914802074432373
sc_h_36,lama_dilated,0.8478363752365112
sc_h_36,swin2sr,0.7644405364990234
sc_h_36,realesrgan,0.8123664259910583
sc_h_36,aesrgan,0.8098009824752808
sc_h_37,lama_dilated,0.8945819139480591
sc_h_37,swin2sr,0.8472388982772827
sc_h_37,realesrgan,0.8691719770431519
sc_h_37,aesrgan,0.8887330889701843
sc_h_38,lama_dilated,0.9026793241500854
sc_h_38,swin2sr,0.8807814121246338
sc_h_38,realesrgan,0.8927829265594482
sc_h_38,aesrgan,0.8897126913070679
sc_h_39,lama_dilated,0.889046311378479
sc_h_39,swin2sr,0.8551414012908936
sc_h_39,realesrgan,0.900387704372406
sc_h_39,aesrgan,0.9004014730453491
sc_h_40,lama_dilated,0.9210819005966187
sc_h_40,swin2sr,0.8739867210388184
sc_h_40,realesrgan,0.8869376182556152
sc_h_40,aesrgan,0.9003125429153442
sc_h_41,lama_dilated,0.9286215305328369
sc_h_41,swin2sr,0.8929280042648315
sc_h_41,realesrgan,0.9289911985397339
sc_h_41,aesrgan,0.9284764528274536
sc_h_42,lama_dilated,0.8271980285644531
sc_h_42,swin2sr,0.8168567419052124
sc_h_42,realesrgan,0.8491741418838501
sc_h_42,aesrgan,0.8517451882362366
sc_h_43,lama_dilated,0.9075818657875061
sc_h_43,swin2sr,0.8735182285308838
sc_h_43,realesrgan,0.9008102416992188
sc_h_43,aesrgan,0.9117393493652344
sc_h_44,lama_dilated,0.9126243591308594
sc_h_44,swin2sr,0.8663455247879028
sc_h_44,realesrgan,0.896649181842804
sc_h_44,aesrgan,0.900615394115448
