stem,method,region_h,region_w,niqe,brisque
sc_h_17,realesrgan,600,368,11.252250734656208,35.69549560546875
sc_h_17,aesrgan,600,368,11.96459917134562,32.97283935546875
sc_h_18,lama_dilated,176,113,7.289946900723947,15.14764404296875
sc_h_18,swin2sr,596,339,9.945848154026194,89.88201904296875
sc_h_18,realesrgan,583,331,8.543635143883101,24.51678466796875
sc_h_18,aesrgan,583,331,7.7975281120201325,27.69451904296875
sc_h_19,lama_dilated,120,96,10.667163429414035,36.71405029296875
sc_h_19,swin2sr,376,275,14.885070844948123,80.68377685546875
sc_h_19,realesrgan,360,265,7.494244248393529,21.92108154296875
sc_h_19,aesrgan,360,265,7.582699790362838,15.52557373046875
sc_h_20,lama_dilated,158,115,5.7948107785637255,33.04608154296875
sc_h_20,swin2sr,525,349,8.425902433989632,64.59686279296875
sc_h_20,realesrgan,511,340,4.435904375595126,26.17010498046875
sc_h_20,aesrgan,511,340,3.163960258984476,3.71600341796875
sc_h_21,lama_dilated,168,117,5.859101993983165,20.07244873046875
sc_h_21,swin2sr,567,357,9.413520206696361,68.16033935546875
sc_h_21,realesrgan,552,348,5.314541588576256,40.02655029296875
sc_h_21,aesrgan,552,348,3.185043618356119,14.41912841796875
sc_h_22,lama_dilated,155,135,12.250203155395779,18.98651123046875
sc_h_22,swin2sr,517,430,9.703602507306812,56.49090576171875
sc_h_22,realesrgan,500,418,7.118137797074504,57.75115966796875
sc_h_22,aesrgan,500,418,6.5988283499844265,24.77362060546875
sc_h_23,lama_dilated,153,102,8.370345876538492,38.63787841796875
sc_h_23,swin2sr,508,294,10.246947773897487,56.59100341796875
sc_h_23,realesrgan,492,286,7.9266706801826645,23.55975341796875
sc_h_23,aesrgan,492,286,6.977876021019066,12.32733154296875
sc_h_24,lama_dilated,173,127,8.497492980541665,20.42108154296875
sc_h_24,swin2sr,589,397,9.554121854503563,72.35955810546875
sc_h_24,realesrgan,572,387,4.380686795044026,26.71893310546875
sc_h_24,aesrgan,572,387,6.0681700927408695,11.60467529296875
sc_h_25,lama_dilated,174,121,5.151316209796645,30.01971435546875
sc_h_25,swin2sr,591,372,8.761646970529592,57.21112060546875
sc_h_25,realesrgan,576,362,4.869866838881969,3.00311279296875
sc_h_25,aesrgan,576,362,4.531745090190401,0.20037841796875
sc_h_26,lama_dilated,120,96,12.342160330429799,31.50408935546875
sc_h_26,swin2sr,376,266,9.321673565849565,62.88397216796875
sc_h_26,realesrgan,360,256,5.055696905288822,11.91326904296875
sc_h_26,aesrgan,360,256,3.327441777818726,12.00506591796875
sc_h_27,lama_dilated,121,96,5.898058586725497,34.39178466796875
sc_h_27,swin2sr,380,236,10.288537579804885,69.16815185546875
sc_h_27,realesrgan,364,227,4.484545416593464,5.82342529296875
sc_h_27,aesrgan,364,227,3.801889429915074,4.01678466796875
sc_h_28,lama_dilated,121,96,9.7770312910976,30.15350341796875
sc_h_28,swin2sr,379,237,16.85811964096971,89.97479248046875
sc_h_28,realesrgan,363,229,12.353431691759218,9.30975341796875
sc_h_28,aesrgan,363,229,8.0120407958376,14.59588623046875
sc_h_29,lama_dilated,120,96,8.713460191748226,23.75799560546875
sc_h_29,swin2sr,375,223,15.334723207724748,77.65447998046875
sc_h_29,realesrgan,360,215,8.437285185975618,12.77557373046875
sc_h_29,aesrgan,360,215,8.453438222853205,12.55975341796875
sc_h_3,lama_dilated,177,120,4.618073197555846,26.11151123046875
sc_h_3,swin2sr,605,368,9.191271779683388,56.58026123046875
sc_h_3,realesrgan,589,360,6.239690360106724,15.11444091796875
sc_h_3,aesrgan,589,360,4.213863852306251,-5.15899658203125
sc_h_30,lama_dilated,120,96,7.500958414677422,31.80584716796875
sc_h_30,swin2sr,373,238,10.937619474117543,73.29803466796875
sc_h_30,realesrgan,359,230,5.06326214311401,14.64373779296875
sc_h_30,aesrgan,359,230,3.8978443876082585,17.91717529296875
sc_h_31,lama_dilated,124,96,10.073672571125403,38.48651123046875
sc_h_31,swin2sr,401,247,14.057924064184444,90.84881591796875
sc_h_31,realesrgan,384,238,11.538375784507425,31.63787841796875
sc_h_31,aesrgan,384,238,6.076324499825539,15.01971435546875
sc_h_32,lama_dilated,128,96,6.216038653935047,22.76287841796875
sc_h_32,swin2sr,409,238,9.031144802515316,55.47967529296875
sc_h_32,realesrgan,392,230,3.400953433477003,0.50311279296875
sc_h_32,aesrgan,392,230,3.8253773265172835,11.63983154296875
sc_h_33,lama_dilated,117,96,9.096259709048187,33.30682373046875
sc_h_33,swin2sr,375,263,17.618223017586676,90.63983154296875
sc_h_33,realesrgan,360,254,13.169947594966786,31.77166748046875
sc_h_33,aesrgan,360,254,13.16550758115426,29.65350341796875
sc_h_34,lama_dilated,118,96,9.511908118071771,27.91815185546875
