image,sr_method,input_niqe,sr_niqe,niqe_improvement,input_brisque,sr_brisque,brisque_improvement,input_remove,sr_remove,remove_improvement,niqe_result,brisque_result,remove_result
sc_33_40,realesrgan,6.500131359972902,5.486019937505081,1.0141114224678205,30.43670654296875,1.35565185546875,29.0810546875,0.806577742099762,0.7667555809020996,-0.039822161197662354,Improved,Improved,Worsened
sc_h_1,realesrgan,6.20102911534391,6.511363491665256,-0.31033437632134664,34.32830810546875,24.62127685546875,9.70703125,0.6489682793617249,0.643052339553833,-0.005915939807891846,Worsened,Improved,Worsened
sc_h_10,realesrgan,5.937549167523905,3.247376123447552,2.6901730440763525,25.05487060546875,13.82928466796875,11.2255859375,0.8391227722167969,0.7956147193908691,-0.043508052825927734,Improved,Improved,Worsened
sc_h_11,realesrgan,11.87974329784055,10.851704106849985,1.0280391909905653,10.74334716796875,26.82537841796875,-16.08203125,0.9206305742263794,0.8053767085075378,-0.11525386571884155,Improved,Worsened,Worsened
sc_h_12,realesrgan,8.955110178067198,7.535060400191367,1.420049777875831,30.90350341796875,33.30389404296875,-2.400390625,0.7377485036849976,0.611035943031311,-0.12671256065368652,Improved,Worsened,Worsened
sc_h_13,realesrgan,8.050606516491701,8.364145273388543,-0.3135387568968415,18.03240966796875,21.18182373046875,-3.1494140625,0.8567488193511963,0.8787353038787842,0.02198648452758789,Worsened,Worsened,Improved
sc_h_14,realesrgan,7.539749835367923,6.145072573500283,1.3946772618676402,36.75799560546875,41.76678466796875,-5.0087890625,0.8939652442932129,0.8826099634170532,-0.011355280876159668,Improved,Worsened,Worsened
sc_h_15,realesrgan,11.073903224073105,9.003620517035365,2.070282707037739,20.88885498046875,31.43084716796875,-10.5419921875,0.9448997974395752,0.9332743287086488,-0.011625468730926403,Improved,Worsened,Worsened
sc_h_16,realesrgan,7.8213863636733185,4.133115743062509,3.688270620610809,41.50994873046875,15.33416748046875,26.17578125,0.760788083076477,0.638280987739563,-0.12250709533691406,Improved,Improved,Worsened
sc_h_17,realesrgan,8.23518669315131,11.252250734656208,-3.0170640415048986,25.58026123046875,35.69549560546875,-10.115234375,0.9332414865493774,0.916075587272644,-0.0171658992767334,Worsened,Worsened,Worsened
sc_h_18,realesrgan,7.289946900723947,8.543635143883101,-1.2536882431591545,15.14764404296875,24.51678466796875,-9.369140625,0.8962168097496033,0.8812682628631592,-0.014948546886444092,Worsened,Worsened,Worsened
sc_h_19,realesrgan,10.667163429414035,7.494244248393529,3.1729191810205064,36.71405029296875,21.92108154296875,14.79296875,0.8881787657737732,0.9182372093200684,0.030058443546295166,Improved,Improved,Improved
sc_h_20,realesrgan,5.7948107785637255,4.435904375595126,1.358906402968599,33.04608154296875,26.17010498046875,6.8759765625,0.8991102576255798,0.862855076789856,-0.03625518083572388,Improved,Improved,Worsened
sc_h_21,realesrgan,5.859101993983165,5.314541588576256,0.5445604054069086,20.07244873046875,40.02655029296875,-19.9541015625,0.9009170532226562,0.8706260919570923,-0.030290961265563965,Improved,Worsened,Worsened
sc_h_22,realesrgan,12.25020315539578,7.118137797074504,5.1320653583212765,18.98651123046875,57.75115966796875,-38.7646484375,0.8823634386062622,0.8906856179237366,0.008322179317474365,Improved,Worsened,Improved
sc_h_23,realesrgan,8.370345876538492,7.926670680182664,0.4436751963558283,38.63787841796875,23.55975341796875,15.078125,0.8471362590789795,0.8343613147735596,-0.012774944305419922,Improved,Improved,Worsened
sc_h_24,realesrgan,8.497492980541665,4.380686795044026,4.116806185497639,20.42108154296875,26.71893310546875,-6.2978515625,0.9285866618156432,0.9223435521125792,-0.006243109703063965,Improved,Worsened,Worsened
sc_h_25,realesrgan,5.151316209796645,4.869866838881969,0.28144937091467614,30.01971435546875,3.00311279296875,27.0166015625,0.788689374923706,0.8046108484268188,0.015921473503112793,Improved,Improved,Improved
sc_h_26,realesrgan,12.3421603304298,5.055696905288822,7.286463425140979,31.50408935546875,11.91326904296875,19.5908203125,0.8651701807975769,0.7666932344436646,-0.09847694635391235,Improved,Improved,Worsened
sc_h_27,realesrgan,5.898058586725497,4.484545416593464,1.413513170132033,34.39178466796875,5.82342529296875,28.568359375,0.9077916145324708,0.7722780704498291,-0.1355135440826417,Improved,Improved,Worsened
sc_h_28,realesrgan,9.7770312910976,12.353431691759218,-2.5764004006616172,30.15350341796875,9.30975341796875,20.84375,0.8764296770095825,0.8857929706573486,0.009363293647766113,Worsened,Improved,Improved
sc_h_29,realesrgan,8.713460191748226,8.437285185975618,0.27617500577260756,23.75799560546875,12.77557373046875,10.982421875,0.7685538530349731,0.7951687574386597,0.026614904403686523,Improved,Improved,Improved
sc_h_3,realesrgan,4.618073197555846,6.239690360106724,-1.6216171625508782,26.11151123046875,15.11444091796875,10.9970703125,0.3888731002807617,0.2195367068052292,-0.16933639347553253,Worsened,Improved,Worsened
sc_h_30,realesrgan,7.500958414677422,5.06326214311401,2.4376962715634116,31.80584716796875,14.64373779296875,17.162109375,0.8961562514305115,0.8914813995361328,-0.004674851894378662,Improved,Improved,Worsened
sc_h_31,realesrgan,10.073672571125403,11.538375784507425,-1.4647032133820215,38.48651123046875,31.63787841796875,6.8486328125,0.9230871200561525,0.9130278825759888,-0.010059237480163685,Worsened,Improved,Worsened
sc_h_32,realesrgan,6.216038653935047,3.400953433477003,2.8150852204580437,22.76287841796875,0.50311279296875,22.259765625,0.872559130191803,0.8377336859703064,-0.03482544422149658,Improved,Improved,Worsened
sc_h_33,realesrgan,9.096259709048187,13.169947594966786,-4.0736878859185985,33.30682373046875,31.77166748046875,1.53515625,0.9046639204025269,0.9169594049453736,0.01229548454284679,Worsened,Improved,Improved
sc_h_34,realesrgan,9.511908118071773,12.8748915591016,-3.3629834410298276,27.91815185546875,24.42303466796875,3.4951171875,0.8576444387435913,0.8426840305328369,-0.014960408210754395,Worsened,Improved,Worsened
sc_h_35,realesrgan,5.823646264310619,5.740395559608143,0.08325070470247553,15.36932373046875,40.47186279296875,-25.1025390625,0.9115043878555298,0.9025168418884276,-0.008987545967102162,Improved,Worsened,Worsened
sc_h_36,realesrgan,7.298947865078169,7.287876160713772,0.011071704364397306,13.31365966796875,7.19744873046875,6.1162109375,0.8478363752365112,0.8123664259910583,-0.03546994924545288,Improved,Improved,Worsened
sc_h_37,realesrgan,5.076161227328252,4.231387788792497,0.8447734385357553,12.06561279296875,7.29412841796875,4.771484375,0.8945819139480591,0.8691719770431519,-0.025409936904907227,Improved,Improved,Worsened
sc_h_38,realesrgan,10.303194762498627,10.269652638043802,0.03354212445482574,19.87908935546875,15.10369873046875,4.775390625,0.9026793241500854,0.8927829265594482,-0.009896397590637207,Improved,Improved,Worsened
sc_h_39,realesrgan,6.975792787470766,12.039207209895643,-5.063414422424877,12.71697998046875,16.33319091796875,-3.6162109375,0.889046311378479,0.900387704372406,0.011341392993927002,Worsened,Worsened,Improved
sc_h_40,realesrgan,5.8517853953156544,6.506663509182432,-0.6548781138667774,22.73065185546875,31.27459716796875,-8.5439453125,0.9210819005966188,0.8869376182556152,-0.03414428234100353,Worsened,Worsened,Worsened
sc_h_41,realesrgan,9.732526331873574,11.1972260389067,-1.4646997070331267,14.44549560546875,29.42694091796875,-14.9814453125,0.9286215305328368,0.928991198539734,0.0003696680068971947,Worsened,Worsened,Improved
sc_h_42,realesrgan,6.052170139995755,3.930571189526042,2.121598950469713,16.41131591796875,11.52459716796875,4.88671875,0.8271980285644531,0.8491741418838501,0.021976113319396973,Improved,Improved,Improved
sc_h_43,realesrgan,11.28356605427833,14.37603515065583,-3.092469096377501,17.65838623046875,36.47479248046875,-18.81640625,0.907581865787506,0.9008102416992188,-0.0067716240882872425,Worsened,Worsened,Worsened
