stem,method,niqe ↓,brisque ↓,ocr_conf_sum ↓,remove_score ↑,conclusion,conlcusion (visual)
sc_33_25,navier_stokes,5.992091641053261,30.70135498046875,0.0,0.7881048321723938,,
sc_33_25,lama_manual_mask,5.784940230931361,27.01385498046875,0.0,0.7065643072128296,✔️,
sc_33_25,lama_dilated,4.717034110506472,30.50897216796875,0.0,0.8189009428024292,,✔️
sc_33_25,lama_auto,4.484769751809912,29.43084716796875,0.0,0.8400000929832458,✔️,✔️
sc_33_26,raw,11.85680476585748,20.81463623046875,0.6042001867952087,0.764967679977417,,
sc_33_26,telea,8.986198491932532,21.93768310546875,0.0,0.805504322052002,✔️,
sc_33_26,navier_stokes,9.58325924765137,17.19842529296875,0.0,0.8849061727523804,✔️,
sc_33_26,lama_manual_mask,10.856904087277368,20.55194091796875,0.0,0.8795055747032166,,
sc_33_26,lama_dilated,10.873539447104667,20.25701904296875,0.0,0.902073323726654,✔️,✔️
sc_33_26,lama_auto,11.497019495878844,21.47381591796875,0.0,0.8778955936431885,✔️,
sc_33_27,raw,10.78643826745173,57.25506591796875,0.0,0.8632233142852783,,
sc_33_27,telea,9.951443905744789,54.72869873046875,0.0,0.8850795030593872,,
sc_33_27,navier_stokes,9.599736437390556,54.98553466796875,0.0,0.9131335616111756,✔️,
sc_33_27,lama_manual_mask,10.226492336597424,53.66131591796875,0.0,0.8924398422241211,,
sc_33_27,lama_dilated,9.859743843155943,52.75701904296875,0.0,0.8892659544944763,✔️,✔️
sc_33_27,lama_auto,9.461349459776276,52.89764404296875,0.0,0.8924267292022705,✔️,
sc_33_28,raw,7.53374385396536,25.11346435546875,0.9710894362408596,0.5030878782272339,,
sc_33_28,telea,8.551045933709519,26.39471435546875,0.0,0.89400315284729,,
sc_33_28,navier_stokes,6.297172227492225,33.45819091796875,0.0,0.8999303579330444,✔️,
sc_33_28,lama_manual_mask,4.617841810292874,25.11248779296875,0.113709038014019,0.7133519649505615,✔️,
sc_33_28,lama_dilated,7.029671696690215,34.13983154296875,0.0,0.8871651887893677,,✔️
sc_33_28,lama_auto,5.306827511405063,37.78826904296875,0.0,0.8494932651519775,✔️,✔️
sc_33_29,raw,11.410400555295022,47.02069091796875,0.8174942492418651,0.7732648849487305,,
sc_33_29,telea,12.152194785896254,41.45037841796875,0.0,0.8584905862808228,,
sc_33_29,navier_stokes,10.434270679985223,48.69744873046875,0.0,0.8950250148773193,✔️,
sc_33_29,lama_manual_mask,10.264555864976645,43.52655029296875,0.0,0.8744598031044006,,
sc_33_29,lama_dilated,8.550523242057945,31.95428466796875,0.0,0.8713244199752808,✔️,✔️
sc_33_29,lama_auto,9.12817871250318,30.63690185546875,0.0,0.8742669820785522,✔️,
sc_33_30,raw,6.864001436629392,29.20819091796875,2.219038031997779,0.6372337341308594,,
sc_33_30,telea,4.695292872278206,22.18768310546875,0.0,0.9055582284927368,✔️,
sc_33_30,navier_stokes,4.576938791210749,24.18670654296875,0.0,0.91660875082016,✔️,
sc_33_30,lama_manual_mask,4.812171494902344,23.31170654296875,0.0,0.788122296333313,,
sc_33_30,lama_dilated,4.893611053234794,23.52069091796875,0.0,0.8910759687423706,,✔️
sc_33_30,lama_auto,4.967888065549982,22.64080810546875,0.0,0.915105938911438,✔️,✔️
sc_33_31,raw,8.867908285280137,21.85565185546875,0.9516260753531957,0.7876741886138916,,
sc_33_31,telea,7.825819843108187,16.69061279296875,0.0,0.8218601942062378,,
sc_33_31,navier_stokes,7.54578792967084,14.12420654296875,0.0,0.9021894931793212,✔️,
sc_33_31,lama_manual_mask,7.443286574679909,17.94158935546875,0.0,0.9123631715774536,✔️,
sc_33_31,lama_dilated,9.294186891463136,19.25018310546875,0.0,0.9208887219429016,✔️,✔️
sc_33_31,lama_auto,8.467131772670689,21.92303466796875,0.0,0.9097898006439208,✔️,
sc_33_32,raw,8.894692271840798,56.45330810546875,0.0,0.7545269131660461,,
sc_33_32,telea,8.292358930965147,55.55975341796875,0.0,0.7767010927200317,,
sc_33_32,navier_stokes,8.354649134364175,55.86639404296875,0.0,0.793464183807373,,
sc_33_32,lama_manual_mask,8.183676184240785,53.24334716796875,0.0,0.7845814228057861,,
sc_33_32,lama_dilated,8.059841272136477,51.45916748046875,0.0,0.8182251453399658,✔️,✔️
sc_33_32,lama_auto,8.430985431090557,52.08319091796875,0.0,0.7818171381950378,✔️,
sc_33_33,raw,5.239397383899996,10.53338623046875,0.2624143589621848,0.7330968379974365,✔️,
sc_33_33,telea,6.442766068318817,16.68670654296875,0.0,0.8414140343666077,,
sc_33_33,navier_stokes,6.006033917600045,17.88104248046875,0.0,0.8491978645324707,✔️,
sc_33_33,lama_manual_mask,6.334267258283512,20.72186279296875,0.0,0.792402446269989,,
sc_33_33,lama_dilated,4.969818469983483,16.33514404296875,0.0,0.8047853112220764,✔️,✔️
sc_33_33,lama_auto,5.828729989477062,21.79119873046875,0.0,0.8018451929092407,✔️,
sc_33_34,raw,12.378759582184298,25.14764404296875,0.5184316006798949,0.8810147047042847,,
sc_33_34,telea,10.650597086149125,9.88885498046875,0.0,0.8655908107757568,,
sc_33_34,navier_stokes,10.52461331252742,17.83807373046875,0.0,0.8886165618896484,✔️,
sc_33_34,lama_manual_mask,10.859012397359512,7.38885498046875,0.0,0.8521507382392883,✔️,
sc_33_34,lama_dilated,12.603490751260471,18.47186279296875,0.0,0.9094815254211426,✔️,✔️
sc_33_34,lama_auto,11.591916883950503,20.05291748046875,0.0,0.9026601910591124,✔️,
sc_33_35,raw,5.564938814863333,12.52947998046875,1.4482205891507487,0.7084622383117676,✔️,
sc_33_35,telea,6.065049230920161,16.68084716796875,0.0,0.7589386701583862,,
sc_33_35,navier_stokes,5.760144675318466,17.19354248046875,0.0,0.7346368432044983,,
sc_33_35,lama_manual_mask,5.120109509571562,16.20721435546875,0.0,0.7278506755828857,✔️,
sc_33_35,lama_dilated,6.242990569540337,16.87322998046875,0.0,0.7981470823287964,✔️,✔️
sc_33_35,lama_auto,6.324093624959399,19.26873779296875,0.0,0.7817865014076233,✔️,✔️
sc_33_36,raw,11.631110848321278,19.80780029296875,1.3006378894613426,0.7907394170761108,,
sc_33_36,telea,9.79137245493132,10.97381591796875,0.0,0.7522304654121399,✔️,
sc_33_36,navier_stokes,10.144568350434788,9.84637451171875,0.0,0.8737287521362305,✔️,
sc_33_36,lama_manual_mask,11.639833112416738,18.56854248046875,0.0,0.915749967098236,✔️,
sc_33_36,lama_dilated,13.266602751806673,19.78826904296875,0.0,0.897727370262146,,✔️
sc_33_36,lama_auto,11.717322222900297,17.79412841796875,0.0,0.8955779075622559,✔️,✔️
sc_33_37,raw,8.686415614048625,57.01287841796875,0.0,0.8436579704284668,,
sc_33_37,telea,8.43196077535749,50.27850341796875,0.0,0.8541725873947144,,
sc_33_37,navier_stokes,8.094932701408652,50.67694091796875,0.0,0.859606146812439,✔️,
