stem,method,niqe ↓,brisque ↓,remove_score ↑,conclusion,conlcusion (visual)
sc_33_20,lama_dilated,12.373572688938754,16.01580810546875,0.7899163961410522,,
sc_33_20,swin2sr,14.918292216715177,73.16229248046875,0.8061161041259766,,
sc_33_20,realesrgan,14.620967033074251,19.82440185546875,0.8216643333435059,,
sc_33_20,aesrgan,10.67327443150758,2.07244873046875,0.8437457084655762,✔️,✔️
sc_33_21,lama_dilated,8.213320586044878,19.28533935546875,0.8793891072273254,✔️,
sc_33_21,swin2sr,11.296870813604157,48.84393310546875,0.8330700397491455,,✔️
sc_33_21,realesrgan,4.840103305281357,45.07147216796875,0.8874816298484802,✔️,
sc_33_21,aesrgan,7.65593664517546,23.70526123046875,0.8428856730461121,,
sc_33_22,lama_dilated,10.463014450436097,55.12420654296875,0.7789978981018066,✔️,
sc_33_22,swin2sr,8.657743799674828,57.52557373046875,0.7286460995674133,,
sc_33_22,realesrgan,6.308065407358158,18.89178466796875,0.7049517631530762,✔️,
sc_33_22,aesrgan,6.264730102790082,42.25408935546875,0.7002192139625549,✔️,✔️
sc_33_23,lama_dilated,6.773369547223376,21.00018310546875,0.908036470413208,✔️,
sc_33_23,swin2sr,14.819154826410967,74.30780029296875,0.8714641332626343,,✔️
sc_33_23,realesrgan,5.375594463059573,6.56072998046875,0.8486559391021729,✔️,✔️
sc_33_23,aesrgan,5.402773809540725,4.92791748046875,0.8651599884033203,✔️,✔️
sc_33_24,lama_dilated,10.44233205751966,34.45623779296875,0.8968496322631836,,
sc_33_24,swin2sr,15.798629278425128,95.81365966796876,0.873729944229126,,
sc_33_24,realesrgan,9.4824004362637,34.52362060546875,0.9067459106445312,,
sc_33_24,aesrgan,9.093407833224346,25.18377685546875,0.910704493522644,✔️,✔️
sc_33_25,lama_dilated,4.756055129464374,33.02362060546875,0.8065935373306274,✔️,
sc_33_25,swin2sr,11.00872410289162,70.98455810546875,0.7216624021530151,,
sc_33_25,realesrgan,4.120978661526373,17.50701904296875,0.7318580150604248,✔️,✔️
sc_33_25,aesrgan,4.85361237468689,18.90545654296875,0.7361936569213867,,
